Rk,I,Split,Year,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,2024 Totals,2024,50746,43722,182449,163687,21343,39823,7771,697,5453,20379,3617,961,14929,41197,.243,.312,.399,.711,65347,3227,2020,452,1261,509,1127,.291,,
2,,2023 Totals,2023,50750,43740,184104,164418,22432,40839,8228,712,5868,21512,3503,866,15819,41843,.248,.320,.414,.734,68095,3466,2112,429,1230,474,1076,.297,,
3,,2022 Totals,2022,50285,43740,182052,163465,20817,39675,7940,643,5215,19888,2486,811,14853,40812,.243,.312,.395,.707,64546,3393,2046,390,1224,475,1146,.290,,
4,,2021 Totals,2021,61316,43722,181818,161941,22010,39484,7863,671,5944,20993,2213,711,15794,42145,.244,.317,.411,.728,66521,3328,2112,766,1143,703,1260,.292,,
5,,2020 Totals,2020,18818,16164,66506,59030,8344,14439,2823,241,2304,7978,885,292,6092,15586,.245,.322,.418,.740,24656,1237,821,126,402,202,516,.292,,
6,,2019 Totals,2019,61093,43722,186517,166651,23467,42039,8531,785,6776,22471,2280,832,15895,42823,.252,.323,.435,.758,72468,3463,1984,776,1150,753,1560,.298,,
7,,2018 Totals,2018,61179,43758,185139,165432,21630,41018,8264,847,5585,20606,2474,958,15686,41207,.248,.318,.409,.728,67731,3457,1922,823,1235,929,1580,.296,,
8,,2017 Totals,2017,60658,43740,185295,165567,22582,42215,8397,795,6105,21558,2527,934,15829,40104,.255,.325,.426,.750,70517,3804,1763,925,1168,970,1584,.300,,
9,,2016 Totals,2016,60809,43704,184580,165561,21744,42276,8254,873,5610,20745,2537,1001,15088,38982,.255,.322,.417,.739,69106,3719,1651,1025,1214,932,1601,.300,,
10,,2015 Totals,2015,60885,43722,183628,165488,20647,42106,8242,939,4909,19650,2505,1064,14073,37446,.254,.317,.405,.721,66953,3739,1602,1200,1232,951,1638,.299,,
