Rk,I,Split▲,Year,G,Out,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1,,Bunts,2020,331,271,,403,277,21,133,0,0,0,15,0,0,0,0,.480,.480,.480,.960,133,1,0,126,0,0,7,.480,,
2,,Bunts,2022,945,738,,1116,726,70,380,1,0,0,42,0,0,0,0,.523,.523,.525,1.048,381,2,0,390,0,0,7,.523,,
3,,Bunts,2023,959,763,,1103,674,68,344,1,0,0,58,0,0,0,0,.510,.510,.512,1.022,345,4,0,429,0,0,9,.510,,
4,,Bunts,2024,997,824,,1191,739,84,371,0,0,0,62,0,0,0,0,.502,.502,.502,1.004,371,4,0,452,0,0,8,.502,,
5,,Bunts,2021,1308,1289,,1583,817,84,313,2,0,0,66,0,0,0,0,.383,.383,.386,.769,315,19,0,766,0,0,11,.383,,
6,,Bunts,2019,1367,1340,,1696,920,94,383,2,0,0,69,0,0,0,0,.416,.416,.419,.835,385,27,0,776,0,0,53,.416,,
7,,Bunts,2018,1551,1519,,1935,1111,102,441,1,0,0,73,0,0,0,0,.397,.397,.398,.795,442,26,0,823,0,0,68,.397,,
8,,Bunts,2017,1573,1591,,1982,1057,71,420,0,0,0,48,0,0,0,0,.397,.397,.397,.795,420,29,0,925,0,0,50,.397,,
9,,Bunts,2016,1769,1791,,2236,1211,108,484,0,0,0,81,0,0,0,0,.400,.400,.400,.799,484,39,0,1025,0,0,56,.400,,
10,,Bunts,2015,1903,2024,,2520,1320,97,531,1,0,0,60,0,0,0,0,.402,.402,.403,.805,532,35,0,1200,0,0,57,.402,,
11,,Fly Balls,2020,1794,10270,,12260,12020,2456,1990,253,42,1207,2439,0,0,0,0,.166,.162,.495,.657,5948,0,0,0,240,0,32,.071,,
